What year did World War II end?,1945,1939,1950,1918,History
Who directed the movie "The Godfather"?,Francis Ford Coppola,Quentin Tarantino,Steven Spielberg,Martin Scorsese,Movies
What is the capital of Italy?,Rome,Milan,Florence,Naples,Geography
Who discovered electricity?,Benjamin Franklin,Thomas Edison,Nikola Tesla,James Watt,Science
What is the chemical symbol for carbon?,C,O,H,He,Science
Who painted the "The Starry Night"?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,Art
Which country is known as the Land of the Rising Sun?,Japan,China,India,United Kingdom,Geography
Who wrote the novel "Moby-Dick"?,Herman Melville,Mark Twain,Emily Brontë,Charles Dickens,Literature
What is the chemical symbol for gold?,Au,Ag,Fe,Pb,Science
What is the largest desert in the world?,Sahara Desert,Gobi Desert,Arabian Desert,Kalahari Desert,Geography
Who directed the movie "Schindler's List"?,Steven Spielberg,Quentin Tarantino,Christopher Nolan,Martin Scorsese,Movies
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Geography
Who was the first President of the United States?,George Washington,Abraham Lincoln,Thomas Jefferson,John Adams,History
What year did the Titanic sink?,1912,1908,1915,1920,History
Which civilization built the Great Wall of China?,Ancient China,Ancient Egypt,Mayans,Greeks,History
Who discovered America?,Christopher Columbus,Leif Erikson,Marco Polo,Vasco da Gama,History
What is the capital of France?,Paris,London,Berlin,Rome,Geography
Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Ada Lovelace,Emmy Noether,Science
What is the chemical symbol for sodium?,Na,K,Fe,Ag,Science
Which planet is known as the "Red Planet"?,Mars,Venus,Jupiter,Saturn,Astronomy
Who directed the movie "The Shawshank Redemption"?,Frank Darabont,Quentin Tarantino,Steven Spielberg,Christopher Nolan,Movies
What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Buenos Aires,Geography
Who composed the music for the ballet "The Nutcracker"?,Pyotr Ilyich Tchaikovsky,Ludwig van Beethoven,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Music
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Gregor Mendel,Science
What is the largest mammal in the world?,Blue whale,Elephant,Giraffe,Hippopotamus,Animals
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Leonardo da Vinci,Raphael,Sandro Botticelli,Art
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Geography
Who was the first President of the United States?,George Washington,Abraham Lincoln,Thomas Jefferson,John Adams,History
What year did the Titanic sink?,1912,1908,1915,1920,History
Which civilization built the Great Wall of China?,Ancient China,Ancient Egypt,Mayans,Greeks,History
Who discovered America?,Christopher Columbus,Leif Erikson,Marco Polo,Vasco da Gama,History
What is the capital of France?,Paris,London,Berlin,Rome,Geography
Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Ada Lovelace,Emmy Noether,Science
What is the chemical symbol for sodium?,Na,K,Fe,Ag,Science
Which planet is known as the "Red Planet"?,Mars,Venus,Jupiter,Saturn,Astronomy
Who directed the movie "The Shawshank Redemption"?,Frank Darabont,Quentin Tarantino,Steven Spielberg,Christopher Nolan,Movies
What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Buenos Aires,Geography
Who composed the music for the ballet "The Nutcracker"?,Pyotr Ilyich Tchaikovsky,Ludwig van Beethoven,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Music
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Gregor Mendel,Science
What is the largest mammal in the world?,Blue whale,Elephant,Giraffe,Hippopotamus,Animals
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Leonardo da Vinci,Raphael,Sandro Botticelli,Art
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Geography
Who was the first President of the United States?,George Washington,Abraham Lincoln,Thomas Jefferson,John Adams,History
What year did the Titanic sink?,1912,1908,1915,1920,History
Which civilization built the Great Wall of China?,Ancient China,Ancient Egypt,Mayans,Greeks,History
Who discovered America?,Christopher Columbus,Leif Erikson,Marco Polo,Vasco da Gama,History
What is the capital of France?,Paris,London,Berlin,Rome,Geography
Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Ada Lovelace,Emmy Noether,Science
What is the chemical symbol for sodium?,Na,K,Fe,Ag,Science
Which planet is known as the "Red Planet"?,Mars,Venus,Jupiter,Saturn,Astronomy
Who directed the movie "The Shawshank Redemption"?,Frank Darabont,Quentin Tarantino,Steven Spielberg,Christopher Nolan,Movies
What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Buenos Aires,Geography
Who composed the music for the ballet "The Nutcracker"?,Pyotr Ilyich Tchaikovsky,Ludwig van Beethoven,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Music
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Gregor Mendel,Science
What is the largest mammal in the world?,Blue whale,Elephant,Giraffe,Hippopotamus,Animals
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Leonardo da Vinci,Raphael,Sandro Botticelli,Art
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Geography
Who was the first President of the United States?,George Washington,Abraham Lincoln,Thomas Jefferson,John Adams,History
What year did the Titanic sink?,1912,1908,1915,1920,History
Which civilization built the Great Wall of China?,Ancient China,Ancient Egypt,Mayans,Greeks,History
Who discovered America?,Christopher Columbus,Leif Erikson,Marco Polo,Vasco da Gama,History
What is the capital of France?,Paris,London,Berlin,Rome,Geography
Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Ada Lovelace,Emmy Noether,Science
What is the chemical symbol for sodium?,Na,K,Fe,Ag,Science
Which planet is known as the "Red Planet"?,Mars,Venus,Jupiter,Saturn,Astronomy
Who directed the movie "The Shawshank Redemption"?,Frank Darabont,Quentin Tarantino,Steven Spielberg,Christopher Nolan,Movies
What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Buenos Aires,Geography
Who composed the music for the ballet "The Nutcracker"?,Pyotr Ilyich Tchaikovsky,Ludwig van Beethoven,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Music
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Gregor Mendel,Science
What is the largest mammal in the world?,Blue whale,Elephant,Giraffe,Hippopotamus,Animals
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Leonardo da Vinci,Raphael,Sandro Botticelli,Art
Who wrote "Romeo and Juliet"?,William Shakespeare,John Donne,Christopher Marlowe,John Milton,Literature
What is the chemical symbol for silver?,Ag,Au,Cu,Pt,Science
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,Bessie Coleman,Beryl Markham,Sally Ride,History
Which famous scientist formulated the theory of relativity?,Albert Einstein,Isaac Newton,Nikola Tesla,Galileo Galilei,Science
What is the longest river in Europe?,Volga River,Don River,Danube River,Rhine River,Geography
Who wrote "The Hunger Games" trilogy?,Suzanne Collins,J.K. Rowling,Stephenie Meyer,Veronica Roth,Literature
What is the chemical symbol for potassium?,K,Na,Ca,Mg,Science
Who painted "The Starry Night"?,Vincent van Gogh,Pablo Picasso,Claude Monet,Gustav Klimt,Art
What is the world's largest coral reef system?,Great Barrier Reef,Belize Barrier Reef,New Caledonia Barrier Reef,Red Sea Coral Reef,Geography
Who composed the famous piece "Fur Elise"?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Franz Schubert,Music
Which country is famous for the Leaning Tower of Pisa?,Italy,France,Spain,Germany,Geography
Who developed the first successful polio vaccine?,Jonas Salk,Albert Sabin,Edward Jenner,Louis Pasteur,Science
What is the capital of South Korea?,Seoul,Pyongyang,Tokyo,Beijing,Geography
Which artist is known for his melting clocks in the painting "The Persistence of Memory"?,Salvador Dalí,Pablo Picasso,Vincent van Gogh,Claude Monet,Art
What is the chemical symbol for calcium?,Ca,K,Na,Fe,Science
Who wrote the novel "The Catcher in the Rye"?,J.D. Salinger,Ernest Hemingway,F. Scott Fitzgerald,Mark Twain,Literature
What is the second largest planet in our solar system?,Saturn,Neptune,Jupiter,Mars,Astronomy
Who directed the movie "The Godfather"?,Francis Ford Coppola,Quentin Tarantino,Martin Scorsese,Christopher Nolan,Movies
What is the capital of India?,New Delhi,Mumbai,Kolkata,Bangalore,Geography
What is the chemical symbol for lead?,Pb,Fe,Au,Ag,Science
Who wrote the novel "1984"?,George Orwell,Aldous Huxley,Ray Bradbury,Margaret Atwood,Literature
What is the chemical symbol for mercury?,Hg,He,Na,O,Science
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Raphael,Leonardo da Vinci,Sandro Botticelli,Art
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Geography
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Albert Einstein,Guglielmo Marconi,History
What is the chemical symbol for copper?,Cu,Ag,Au,Fe,Science
Who wrote the novel "Moby-Dick"?,Herman Melville,Mark Twain,Emily Brontë,Charles Dickens,Literature
What is the chemical symbol for nitrogen?,N,O,H,He,Science
Who directed the movie "Forrest Gump"?,Robert Zemeckis,Steven Spielberg,Martin Scorsese,Quentin Tarantino,Movies
What is the capital of Spain?,Madrid,Barcelona,Seville,Valencia,Geography
What is the chemical symbol for phosphorus?,P,K,Ca,Mg,Science
Who wrote the play "Macbeth"?,William Shakespeare,Christopher Marlowe,John Milton,Oscar Wilde,Literature
What is the chemical symbol for uranium?,U,Un,Us,Um,Science
Who composed the "Symphony No. 9" (Beethoven's Ninth)?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Pyotr Ilyich Tchaikovsky,Music
What is the capital of Russia?,Moscow,St. Petersburg,Novosibirsk,Yekaterinburg,Geography
What is the chemical symbol for tin?,Sn,Fe,Au,Pb,Science
Who wrote the novel "The Lord of the Rings"?,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,George R.R. Martin,Literature
What is the chemical symbol for helium?,He,H,O,Ne,Science
Who directed the movie "Inception"?,Christopher Nolan,Quentin Tarantino,Steven Spielberg,James Cameron,Movies
What is the capital of Germany?,Berlin,Munich,Hamburg,Frankfurt,Geography
What is the chemical symbol for silver?,Ag,Au,Cu,Pt,Science
Who wrote "Romeo and Juliet"?,William Shakespeare,John Donne,Christopher Marlowe,John Milton,Literature
What is the chemical symbol for silver?,Ag,Au,Cu,Pt,Science
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,Bessie Coleman,Beryl Markham,Sally Ride,History
Which famous scientist formulated the theory of relativity?,Albert Einstein,Isaac Newton,Nikola Tesla,Galileo Galilei,Science
What is the longest river in Europe?,Volga River,Don River,Danube River,Rhine River,Geography
Who wrote "The Hunger Games" trilogy?,Suzanne Collins,J.K. Rowling,Stephenie Meyer,Veronica Roth,Literature
What is the chemical symbol for potassium?,K,Na,Ca,Mg,Science
Who painted "The Starry Night"?,Vincent van Gogh,Pablo Picasso,Claude Monet,Gustav Klimt,Art
What is the world's largest coral reef system?,Great Barrier Reef,Belize Barrier Reef,New Caledonia Barrier Reef,Red Sea Coral Reef,Geography
Who composed the famous piece "Fur Elise"?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Franz Schubert,Music
Which country is famous for the Leaning Tower of Pisa?,Italy,France,Spain,Germany,Geography
Who developed the first successful polio vaccine?,Jonas Salk,Albert Sabin,Edward Jenner,Louis Pasteur,Science
What is the capital of South Korea?,Seoul,Pyongyang,Tokyo,Beijing,Geography
Which artist is known for his melting clocks in the painting "The Persistence of Memory"?,Salvador Dalí,Pablo Picasso,Vincent van Gogh,Claude Monet,Art
What is the chemical symbol for calcium?,Ca,K,Na,Fe,Science
Who wrote the novel "The Catcher in the Rye"?,J.D. Salinger,Ernest Hemingway,F. Scott Fitzgerald,Mark Twain,Literature
What is the second largest planet in our solar system?,Saturn,Neptune,Jupiter,Mars,Astronomy
Who directed the movie "The Godfather"?,Francis Ford Coppola,Quentin Tarantino,Martin Scorsese,Christopher Nolan,Movies
What is the capital of India?,New Delhi,Mumbai,Kolkata,Bangalore,Geography
What is the chemical symbol for lead?,Pb,Fe,Au,Ag,Science
Who wrote the novel "1984"?,George Orwell,Aldous Huxley,Ray Bradbury,Margaret Atwood,Literature
What is the chemical symbol for mercury?,Hg,He,Na,O,Science
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Raphael,Leonardo da Vinci,Sandro Botticelli,Art
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Geography
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Albert Einstein,Guglielmo Marconi,History
What is the chemical symbol for copper?,Cu,Ag,Au,Fe,Science
Who wrote the novel "Moby-Dick"?,Herman Melville,Mark Twain,Emily Brontë,Charles Dickens,Literature
What is the chemical symbol for nitrogen?,N,O,H,He,Science
Who directed the movie "Forrest Gump"?,Robert Zemeckis,Steven Spielberg,Martin Scorsese,Quentin Tarantino,Movies
What is the capital of Spain?,Madrid,Barcelona,Seville,Valencia,Geography
What is the chemical symbol for phosphorus?,P,K,Ca,Mg,Science
Who wrote the play "Macbeth"?,William Shakespeare,Christopher Marlowe,John Milton,Oscar Wilde,Literature
What is the chemical symbol for uranium?,U,Un,Us,Um,Science
Who composed the "Symphony No. 9" (Beethoven's Ninth)?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Pyotr Ilyich Tchaikovsky,Music
What is the capital of Russia?,Moscow,St. Petersburg,Novosibirsk,Yekaterinburg,Geography
What is the chemical symbol for tin?,Sn,Fe,Au,Pb,Science
Who wrote the novel "The Lord of the Rings"?,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,George R.R. Martin,Literature
What is the chemical symbol for helium?,He,H,O,Ne,Science
Who directed the movie "Inception"?,Christopher Nolan,Quentin Tarantino,Steven Spielberg,James Cameron,Movies
What is the chemical symbol for silver?,Ag,Au,Cu,Pt,Science
Who wrote "Romeo and Juliet"?,William Shakespeare,John Donne,Christopher Marlowe,John Milton,Literature
What is the chemical symbol for silver?,Ag,Au,Cu,Pt,Science
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,Bessie Coleman,Beryl Markham,Sally Ride,History
Which famous scientist formulated the theory of relativity?,Albert Einstein,Isaac Newton,Nikola Tesla,Galileo Galilei,Science
What is the longest river in Europe?,Volga River,Don River,Danube River,Rhine River,Geography
Who wrote "The Hunger Games" trilogy?,Suzanne Collins,J.K. Rowling,Stephenie Meyer,Veronica Roth,Literature
What is the chemical symbol for potassium?,K,Na,Ca,Mg,Science
Who painted "The Starry Night"?,Vincent van Gogh,Pablo Picasso,Claude Monet,Gustav Klimt,Art
What is the world's largest coral reef system?,Great Barrier Reef,Belize Barrier Reef,New Caledonia Barrier Reef,Red Sea Coral Reef,Geography
Who composed the famous piece "Fur Elise"?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Franz Schubert,Music
Which country is famous for the Leaning Tower of Pisa?,Italy,France,Spain,Germany,Geography
Who developed the first successful polio vaccine?,Jonas Salk,Albert Sabin,Edward Jenner,Louis Pasteur,Science
What is the capital of South Korea?,Seoul,Pyongyang,Tokyo,Beijing,Geography
Which artist is known for his melting clocks in the painting "The Persistence of Memory"?,Salvador Dalí,Pablo Picasso,Vincent van Gogh,Claude Monet,Art
What is the chemical symbol for calcium?,Ca,K,Na,Fe,Science
Who wrote the novel "The Catcher in the Rye"?,J.D. Salinger,Ernest Hemingway,F. Scott Fitzgerald,Mark Twain,Literature
What is the second largest planet in our solar system?,Saturn,Neptune,Jupiter,Mars,Astronomy
Who directed the movie "The Godfather"?,Francis Ford Coppola,Quentin Tarantino,Martin Scorsese,Christopher Nolan,Movies
What is the capital of India?,New Delhi,Mumbai,Kolkata,Bangalore,Geography
What is the chemical symbol for lead?,Pb,Fe,Au,Ag,Science
Who wrote the novel "1984"?,George Orwell,Aldous Huxley,Ray Bradbury,Margaret Atwood,Literature
What is the chemical symbol for mercury?,Hg,He,Na,O,Science
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Raphael,Leonardo da Vinci,Sandro Botticelli,Art
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Geography
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Albert Einstein,Guglielmo Marconi,History
What is the chemical symbol for copper?,Cu,Ag,Au,Fe,Science
Who wrote the novel "Moby-Dick"?,Herman Melville,Mark Twain,Emily Brontë,Charles Dickens,Literature
What is the chemical symbol for nitrogen?,N,O,H,He,Science
Who directed the movie "Forrest Gump"?,Robert Zemeckis,Steven Spielberg,Martin Scorsese,Quentin Tarantino,Movies
What is the capital of Spain?,Madrid,Barcelona,Seville,Valencia,Geography
What is the chemical symbol for phosphorus?,P,K,Ca,Mg,Science
Who wrote the play "Macbeth"?,William Shakespeare,Christopher Marlowe,John Milton,Oscar Wilde,Literature
What is the chemical symbol for uranium?,U,Un,Us,Um,Science
Who composed the "Symphony No. 9" (Beethoven's Ninth)?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Pyotr Ilyich Tchaikovsky,Music
What is the capital of Russia?,Moscow,St. Petersburg,Novosibirsk,Yekaterinburg,Geography
What is the chemical symbol for tin?,Sn,Fe,Au,Pb,Science
Who wrote the novel "The Lord of the Rings"?,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,George R.R. Martin,Literature
What is the chemical symbol for helium?,He,H,O,Ne,Science
Who directed the movie "Inception"?,Christopher Nolan,Quentin Tarantino,Steven Spielberg,James Cameron,Movies
Who wrote “Pride and Prejudice”? Jane Austen, Emily Bronte, Louisa May Alcott, Virginia Woolf, Literature
Who is the author of “1984”? George Orwell, Aldous Huxley, Ray Bradbury, J.D. Salinger, Literature
Who wrote “The Great Gatsby”?,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,Mark Twain, Literature
Who is the author of “The Catcher in the Rye”?,J.D. Salinger,Harper Lee,George Orwell,Jack Kerouac, Literature
Who wrote “Moby Dick”?,Herman Melville,Robert Louis Stevenson,Nathaniel Hawthorne,Edgar Allan Poe,Literature
Who is the author of “To Kill a Mockingbird”?,Harper Lee,Margaret Mitchell,Sylvia Plath,Toni Morrison,Literature
Who wrote “War and Peace”?,Leo Tolstoy,Fyodor Dostoevsky,Anton Chekhov,Vladimir Nabokov,Literature
Who is the author of “The Lord of the Rings”?,J.R.R. Tolkien,C.S. Lewis,George R.R. Martin,J.K. Rowling,Literature
Who wrote “The Odyssey”?,Homer,Virgil,Sophocles,Aeschylus,Literature
Who is the author of “Don Quixote”?,Miguel de Cervantes,Gabriel Garcia Marquez,Jorge Luis Borges,Mario Vargas Llosa,Literature
Who is the main character in the anime “Attack on Titan”?,Eren Yeager,Naruto Uzumaki,Monkey D. Luffy,Ichigo Kurosaki,Shows
In which K-drama does Song Hye-kyo star as a doctor?,Descendants of the Sun,Boys Over Flowers,Goblin,Crash Landing on You,Shows
Who is the main character in the show “Breaking Bad”?,Walter White,Tony Soprano,Don Draper,Dexter Morgan,Shows
In which anime does Light Yagami find a death note?,Death Note,Naruto,One Piece,Attack on Titan,Shows
Who is the main character in the K-drama “Itaewon Class”?,Park Sae-ro-yi,Gu Jun-pyo,Kim Tan,Kang Chul,Shows
Who is the main character in the anime “One Piece”?,Monkey D. Luffy,Naruto Uzumaki,Ichigo Kurosaki,Eren Yeager,Shows
In which K-drama does Lee Jong-suk play a webtoon character?,W: Two Worlds,Pinocchio While You Were Sleeping,Romance is a Bonus Book,Shows
Who is the main character in the show “Game of Thrones”?,Jon Snow,Walter White,Tony Soprano,Don Draper,Shows
In which anime does Goku search for dragon balls?,Dragon Ball,Naruto,One Piece,Attack on Titan,Shows
Who is the main character in the K-drama “Crash Landing on You”?,Yoon Se-ri,Cheon Song-yi,Do Min-joon,Kang Mo-yeon,Shows
Who directed “Pulp Fiction”?,Quentin Tarantino,Martin Scorsese,Stanley Kubrick,Alfred Hitchcock,Movies
Who played the Joker in “The Dark Knight”?,Heath Ledger,Jack Nicholson,Joaquin Phoenix,Jared Leto,Movies
Who directed “E.T. the Extra-Terrestrial”?,Steven Spielberg,George Lucas,James Cameron,Ridley Scott,Movies
Who played the role of Forrest Gump?,Tom Hanks,Robert De Niro,Al Pacino,Leonardo DiCaprio,Movies
Who directed “The Godfather”?,Francis Ford Coppola,Martin Scorsese,Stanley Kubrick,Alfred Hitchcock,Movies
Who played the role of Tony Stark in “Iron Man”?,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Movies
Who directed “Jurassic Park”?,Steven Spielberg,George Lucas,James Cameron,Ridley Scott,Movies
